"from.gene"	"to.gene"	"im"
"Eed.48h"	"Tcea3.48h"	0.0282620108649819
"Trpv2.48h"	"Batf3.48h"	0.0282576101958247
"Etv5.48h"	"Rest.48h"	0.0282454078320049
"Etv3.48h"	"Cdyl2.48h"	0.0282363280986849
"Cdx2.24.72h.max"	"Klf4.24.72h.max"	0.028209968051369
"Tgif1.48h"	"Meis2.48h"	0.0282048299062493
"Foxl2.48h"	"Sox9.48h"	0.0282014079123614
"Pou5f1.24.72h.max"	"Tgif1.48h"	0.0281891464132701
"Eed.48h"	"Smad1.48h"	0.028176018640022
"Sap30.48h"	"Nrip1.48h"	0.0281052866986707
"Dmrt1.48h"	"Jun.48h"	0.0280539935100501
"Jarid1a.48h"	"Cdyl.48h"	0.0280456019331251
"Fem1b.48h"	"Mettl5.48h"	0.0280309141576684
"Lass2.48h"	"Tgm2.48h"	0.0280152145848468
"Pou5f1.24.72h.max"	"Dppa5a.48h"	0.0280130261837745
"T.24.72h.max"	"Gbx2.48h"	0.0279646246517447
"Aes.48h"	"Eed.48h"	0.0279483041078994
"Ash2L.48h"	"Hoxa9.48h"	0.0279460067631118
"Pdlim1.48h"	"Gadd45a.48h"	0.0278915055507646
"Nanog.48h"	"Eomes.48h"	0.0278467377479745
"Tcfap2c.48h"	"Zscan4c.48h"	0.0278464227510354
"Ets1.48h"	"Klf3.48h"	0.0277798237446681
"Etv1.48h"	"Otx2.48h"	0.0277744644188015
"Pou5f1.24.72h.max"	"Klf3.48h"	0.0277737828363662
"Smad4.48h"	"Aes.48h"	0.0277501887025168
"Trpv2.48h"	"Nsbp1.48h"	0.027710759290983
"Hsf2bp.48h"	"Fbxo15.48h"	0.0276971108853749
"Smad6.48h"	"Sirt3.48h"	0.0276873651978402
"Fosl2.48h"	"Atf3.48h"	0.0276407539988549
"Dedd2.48h"	"Fhl2.48h"	0.0276260096056764
"Etv5.48h"	"Smad1.48h"	0.0275180496783931
"Msc.48h"	"Tcf4.48h"	0.027455037753203
"Id1.48h"	"Sfpi1.48h"	0.0274450427188596
"Tbx5.48h"	"Meis2.48h"	0.0274253453950788
"Sfrs6.48h"	"Id1.48h"	0.0274073221917579
"Eomes.48h"	"Gata2.48h"	0.0273745442557607
"Foxg1.48h"	"Foxp3.48h"	0.0273315503977065
"Eomes.48h"	"Esx1.24.72h.max"	0.0272895996639275
"Sub1.48h"	"Zfp57.48h"	0.0272577927446981
"Atf3.48h"	"Atxn1.48h"	0.0272403526195007
"Sox7.48h"	"Nr0b1.48h"	0.0272164327300886
"Eomes.48h"	"Cdx2.24.72h.max"	0.027206137307344
"Ctnnb1.48h"	"Zfand3.48h"	0.0271792733121085
"Pdlim1.48h"	"Tcfcp2l1.48h"	0.0271492396790901
